TIME(MS),CHANNEL,VALUE
 000500 ,5      ,1
 000805 ,5      ,0
 000805 ,6      ,1
 001110 ,6      ,0
 001110 ,7      ,1
 001415 ,7      ,0
 001415 ,8      ,1
 001720 ,8      ,0
 001720 ,5      ,1
 002025 ,5      ,0
 002025 ,6      ,1
 002330 ,6      ,0
 002330 ,7      ,1
 002635 ,7      ,0
 002635 ,8      ,1
 002940 ,8      ,0
 002940 ,5      ,1
 003245 ,5      ,0
 003245 ,6      ,1
 003550 ,6      ,0
 003550 ,7      ,1
 003855 ,7      ,0
 003855 ,8      ,1
 004160 ,8      ,0
 004160 ,5      ,1
 004465 ,5      ,0
 004465 ,6      ,1
 004770 ,6      ,0
 004770 ,7      ,1
 005075 ,7      ,0
 005075 ,8      ,1
 005380 ,8      ,0
 005380 ,5      ,1
 005685 ,5      ,0
 005685 ,6      ,1
 005990 ,6      ,0
 005990 ,7      ,1
 006295 ,7      ,0
 006295 ,8      ,1
 006400 ,9      ,1
 006550 ,9      ,0
 006600 ,8      ,0
 006600 ,5      ,1
 006800 ,9      ,1
 006950 ,9      ,0
 007200 ,9      ,1
 007350 ,9      ,0
 007600 ,9      ,1
 007750 ,9      ,0
 008000 ,9      ,1
 008150 ,9      ,0
 008400 ,9      ,1
 008550 ,9      ,0
 008800 ,9      ,1
 008950 ,9      ,0
 009200 ,9      ,1
 009350 ,9      ,0
 009600 ,9      ,1
 009750 ,9      ,0
 010000 ,9      ,1
 010150 ,9      ,0
 010400 ,9      ,1
 010550 ,9      ,0
 010800 ,9      ,1
 010950 ,9      ,0
 011200 ,9      ,1
 011350 ,9      ,0
 011900 ,9      ,1
 012050 ,9      ,0
 014000 ,END    ,1
