TIME(MS),COMMAND,VALUE
 000000 ,1      ,0
 000000 ,2      ,0
 000000 ,3      ,0
 000000 ,4      ,0
 000000 ,5      ,0
 000000 ,6      ,0
 000000 ,7      ,0
 000000 ,8      ,0
 021570 ,8,1
 030323 ,3,1
 032180 ,2,1
 032180 ,4,1
 033799 ,1,1
 033799 ,5,1
 035232 ,8,0
 037000 ,2,0
 037500 ,5,0
 038000 ,1,0
 038500 ,4,0
 039000 ,3,0
 042400 ,5,1
 042550 ,4,1
 042700 ,3,1
 042700 ,5,0 
 042850 ,2,1
 042850 ,4,0
 043000 ,1,1
 043000 ,3,0
 043150 ,2,0
 043300 ,1,0
 045790 ,5,1
 045940 ,4,1
 046090 ,3,1
 046090 ,5,0 
 046240 ,2,1
 046240 ,4,0
 046390 ,1,1
 046390 ,3,0
 046540 ,2,0
 046690 ,1,0
 049250 ,5,1
 049400 ,4,1
 049550 ,3,1
 049550 ,5,0 
 049700 ,2,1
 049700 ,4,0
 049850 ,1,1
 049850 ,3,0
 050000 ,2,0
 050150 ,1,0
 053000 ,5,1
 053500 ,4,1
 054000 ,3,1
 054500 ,2,1
 055000 ,1,1
 060000 ,1,0
 060000 ,2,0
 060000 ,3,0
 060000 ,4,0
 060000 ,5,0
 060150 ,3,1
 060300 ,3,0
 060500 ,3,1
 060650 ,3,0
 060990 ,3,1
 061140 ,3,0
 061460 ,3,1
 061610 ,3,0
 061880 ,2,1
 061880 ,4,1
 062030 ,2,0
 062030 ,4,0
 062330 ,2,1
 062330 ,4,1
 062480 ,2,0
 062480 ,4,0
 062750 ,2,1
 062750 ,4,1
 062900 ,2,0
 062900 ,4,0
 063150 ,3,1
 063300 ,3,0
 063673 ,3,1
 063823 ,3,0
 064163 ,3,1
 064310 ,3,0 
 064560 ,3,1
 064710 ,3,0
 064900 ,3,1
 065050 ,3,0
 065380 ,2,1
 065530 ,2,0
 065820 ,4,1
 065970 ,4,0
 066270 ,2,1
 066420 ,2,0
 066660 ,3,1
 066810 ,3,0
 067120 ,4,1
 067270 ,4,0
 067560 ,2,1
 067710 ,2,0
 068000 ,3,1
 068150 ,3,0
 068450 ,4,1
 068600 ,4,0
 068900 ,3,1
 069050 ,3,0
 070640 ,3,1
 070940 ,3,0
 071640 ,3,1
 071840 ,3,0
 071980 ,3,1
 072180 ,3,0
 072510 ,3,1
 072710 ,3,0
 074100 ,5,1
 074600 ,4,1
 075100 ,3,1
 075100 ,5,0
 075600 ,2,1
 075600 ,4,0
 076000 ,1,1
 076000 ,3,0
 076500 ,2,0
 077000 ,1,0
 077600 ,5,1
 078100 ,4,1
 078600 ,3,1
 078600 ,5,0
 079100 ,2,1
 079100 ,4,0
 079600 ,1,1
 079600 ,3,0
 080100 ,2,0
 080200 ,1,0
 087073 ,3,1
 087299 ,4,1
 087299 ,3,0
 087501 ,2,1
 087501 ,4,0
 087734 ,5,1
 087734 ,2,0
 087960 ,1,1
 087960 ,5,0
 088126 ,1,0
 088126 ,7,1
 103900 ,7,0
 103900 ,5,1
 104075 ,4,1
 104075 ,5,0
 104250 ,3,1
 104250 ,4,0
 104425 ,3,0
 104425 ,2,1
 104600 ,1,1
 104600 ,2,0
 104775 ,2,1
 104775 ,1,0
 104950 ,3,1
 104950 ,2,0
 105125 ,4,1
 105125 ,3,0
 105300 ,5,1
 105300 ,4,0
 105438 ,8,1
 105438 ,5,0
 109932 ,8,0
 110800 ,5,1
 111200 ,4,1
 111200 ,5,0
 111600 ,3,1
 111600 ,4,0
 112000 ,2,1
 112000 ,3,0
 112400 ,1,1
 112400 ,2,0
 112600 ,1,0
 113200 ,7,1
 116205 ,1,1
 116405 ,1,0
 116628 ,2,1
 116828 ,2,0
 117093 ,3,1
 117293 ,3,0
 117521 ,4,1
 117721 ,4,0
 117962 ,5,1
 118162 ,5,0
 118409 ,3,1
 118609 ,3,0
 118843 ,2,1
 118843 ,3,1
 118843 ,4,1
 119043 ,2,1
 119043 ,3,1
 119043 ,4,1
 119290 ,2,1
 119290 ,3,1
 119290 ,4,1
 119490 ,2,0
 119490 ,3,0
 119490 ,4,0
 119500 ,7,0
 119500 ,5,1
 119800 ,3,1
 120200 ,1,1
 120450 ,4,1
 120736 ,2,1
 121000 ,1,0
 121000 ,2,0
 121000 ,3,0
 121000 ,4,0
 121000 ,5,0
 121500 ,3,1
 121600 ,2,1
 121600 ,4,1
 121700 ,1,1
 121700 ,5,1
 121700 ,3,0
 121800 ,2,0
 121800 ,4,0
 121800 ,8,1
 121900 ,1,0
 121900 ,5,0
 128450 ,3,1
 128450 ,8,0
 128550 ,2,1
 128550 ,4,1
 128650 ,1,1
 128650 ,5,1
 128650 ,3,0
 128750 ,2,0
 128750 ,4,0
 128850 ,1,0
 128850 ,5,0
 128850 ,7,1
 135472 ,3,1
 136163 ,2,1
 136163 ,4,1
 136886 ,1,1
 136886 ,5,1
 136886 ,7,0
 146100 ,1,0
 146200 ,2,0
 146300 ,3,0
 146400 ,4,0
 146500 ,5,0
 160000 ,5,1
 160050 ,4,1
 160100 ,3,1
 160150 ,2,1
 160200 ,1,1
 160250 ,7,1
 160250 ,8,1
 166500 ,7,0
 166500 ,8,0
 166600 ,1,0
 166650 ,2,0
 166700 ,3,0
 166750 ,4,0
 166800 ,5,0
 167000 ,5,1
 167050 ,4,1
 167100 ,3,1
 167150 ,2,1
 167200 ,1,1
 167250 ,7,1
 167250 ,8,1
 173500 ,7,0
 173500 ,8,0
 173600 ,1,0
 173650 ,2,0
 173700 ,3,0
 173750 ,4,0
 173800 ,5,0
 174100 ,5,1
 174150 ,4,1
 174200 ,3,1
 174250 ,2,1
 174300 ,1,1
 174350 ,5,0
 174400 ,4,0
 174450 ,3,0
 174500 ,2,0
 174550 ,1,0
 181200 ,2,1
 181400 ,4,1
 181400 ,2,0
 181600 ,1,1
 181600 ,4,0
 181800 ,5,1
 181800 ,1,1
 182000 ,3,1
 182000 ,1,0
 182000 ,5,0
 182200 ,3,0
 182900 ,8,1
 184500 ,7,1
 186200 ,8,0
 189700 ,5,1
 189800 ,4,1
 189900 ,3,1
 189900 ,5,0
 190000 ,2,1
 190000 ,4,0
 190100 ,1,1
 190100 ,3,0
 190200 ,2,0
 190300 ,1,0
 191500 ,8,1
 196200 ,1,0
 196200 ,2,0
 196200 ,3,0
 196200 ,4,0
 196200 ,5,0
 196200 ,6,0
 196200 ,7,0
 196200 ,8,0
 196800 ,5,1 
 196900 ,4,1 
 197000 ,3,1 
 197100 ,2,1 
 197200 ,1,1 
 197300 ,7,1
 197300 ,1,0
 197300 ,2,0
 197300 ,3,0
 197300 ,4,0
 197300 ,5,0
 197500 ,5,1
 197600 ,4,1
 197700 ,3,1
 197800 ,2,1
 197900 ,1,1
 198000 ,8,1
 198000 ,7,0
 198000 ,1,0
 198000 ,2,0
 198000 ,3,0
 198000 ,4,0
 198000 ,5,0
 198100 ,5,1
 198200 ,4,1
 198300 ,3,1
 198400 ,2,1
 198500 ,1,1
 198600 ,7,1
 199650 ,7,0
 199650 ,8,0
 199650 ,1,0
 199800 ,2,0
 199950 ,3,0
 199100 ,4,0
 199250 ,5,0
 200353 ,8,1
 201096 ,7,1
 201096 ,8,0
 201760 ,7,1
 201760 ,8,1
 206200 ,7,0
 206200 ,8,0
 207200 ,8,1
 207200 ,1,1
 207300 ,2,1
 207400 ,3,1
 207500 ,1,0
 207500 ,4,1
 207600 ,2,0
 207600 ,5,1
 207600 ,3,0
 207700 ,1,1
 207700 ,4,0
 207800 ,2,1
 207800 ,5,0
 207900 ,3,1
 207900 ,1,0
 208000 ,4,1
 208000 ,2,0
 208100 ,5,1
 208100 ,3,0
 208200 ,1,1
 208200 ,4,0
 208300 ,2,1
 208300 ,5,0
 208400 ,3,1
 208400 ,1,0
 208500 ,4,1
 208500 ,2,0
 208600 ,5,1
 208600 ,3,0
 208700 ,1,1
 208700 ,4,0
 208800 ,2,1
 208800 ,5,0
 208900 ,3,1
 208900 ,1,0
 209000 ,4,1
 209000 ,2,0
 209100 ,5,1
 209100 ,3,0
 209200 ,1,1
 209200 ,4,0
 209300 ,2,1
 209300 ,5,0
 209400 ,3,1
 209400 ,1,0
 209500 ,4,1
 209500 ,2,0
 209600 ,5,1
 209600 ,3,0
 209700 ,1,1
 209700 ,4,0
 209800 ,2,1
 209800 ,5,0
 209900 ,3,1
 209900 ,1,0
