TIME(MS),COMMAND,VALUE
 000000 ,5      ,0
 000000 ,6      ,0
 000000 ,7      ,0
 000000 ,8      ,0
 000000 ,9      ,0
 000000 ,15     ,0
 000000 ,16     ,0
 001000 ,5      ,1
 001000 ,6      ,1
 001000 ,7      ,1
 001000 ,8      ,1
 001000 ,9      ,1
 002000 ,5      ,0
 002000 ,6      ,0
 002000 ,7      ,0
 002000 ,8      ,0
 002000 ,9      ,0
 002000 ,15     ,1
 003000 ,15     ,0
 003000 ,5      ,1
 003000 ,6      ,1
 003000 ,7      ,1
 003000 ,8      ,1
 003000 ,9      ,1
 004000 ,5      ,0
 004000 ,6      ,0
 004000 ,7      ,0
 004000 ,8      ,0
 004000 ,9      ,0
 004000 ,16     ,1
 005000 ,16     ,0
 005000 ,END    ,1
